id,certification,nudity,violence,profanity,drugs,intense_scene,game_id
1,Argentina:M,"If you go into the town Valentine, you can see an adult man getting spanked by his mum and he keeps telling her to do more because he says he's been a naughty boy.","The most gory rockstar game by far. You can dismember arms, legs and heads. You can stab civilians and enemies. Horses can also be dismembered but only the legs, and only with explosives and shotguns.","You'll hear words like shit, ass, bastard and bitch frequently, as well as other miscellaneous swears. There is infrequent use of the F word. Arthur can insult Kieran and one of the insults that he can level at Kieran is ""I hear that Adler woman wants to cut your dick off!""",People can be seen drinking alcoholic substances. The player can join them.,"You're able to interact with strangers which might lead to small missions, some of these individuals are criminals or mentally unhinged. And might try to kill or harm you. In some cases, they'll relentlessly chase you nonstop throughout the entire game. This can all be very unsettling.",d790c144-5da2-4ef5-b278-e4840b0349f3
2,France:18,"There is a feral man in the forest who is completely naked. Both penis and butt are visible, this is only seen once and it's not shown in high detail.","Players can kill their enemies with melee weapons, as well as kill them with shotguns, projectiles or explosives. You can also drag NPCs behind horses with a lasso this can be comical.","All audio can be turned off in Settings, but the game will not be as enjoyable, as it is like watching a movie without the people talking.",Some mild drug use. But itis very hard to catch,"The character Micah Bell is a complete psychopath, and the things he does are very nasty and unpleasant. However, most of his actions can only be heard, not shown.",d790c144-5da2-4ef5-b278-e4840b0349f3
3,Australia:MA15+,Some references and jokes. Humorous and very mild.,People can be set on fire by campfires and other flammable sources.,The Latin American version contains more profanity in the subtitles than in the Spanish or English version.,"Heavy drinking is involved between two main characters in one mission, which leads to vomiting.",The main story is extremely depressing and sad at times.,d790c144-5da2-4ef5-b278-e4840b0349f3
4,Brazil:18,A man threatens to cut another man's testicles off.,"There are sometimes public executions in towns. Can be missed, but most of them include hanging.","The word ""Cocksucker"" can be heard during free roaming & once during a mission.","During the course of the game, players' character can engage in a drinking mini-game in which alcohol is poured for drunken bar patrons. The player character is also depicted drinking alcohol, sometimes resulting in screen-distortion effects and impaired controls.","A gang known as the Skinner Brothers roam the lands of Tall Trees. They are the most violent characters in the game. They skin, scalp, burn, gut and slaughter innocent civilians. You don't see any of these occurring, except scalping. (It is a random encounter, you are intended to save the victim) When you raid their camps, they will have decapitated bodies hung from trees, buckets of organs and scalps hanging in their tents.",d790c144-5da2-4ef5-b278-e4840b0349f3
5,Germany:18 (USK),You may accidentally interrupt two people having sex. Nothing sensitive is shown it is very quick and can be avoided. This can be avoided and you never see it again afterwards.,"Pretty violent game, and cannot be censored through the settings","Lenny says ""Nigger Lover"" while explaining how he faces racism in the south to Arthur.","One of the stimulant power-ups is known as Cocaine Gum, which players' character can chew; in one scene, characters can briefly be seen smoking from an opium pipe.","In some Chance encounters, a person or a couple is being attacked/mugged. If you fail the encounter one of them will die and you will lose honor. The other person cries out in anguish. Very realistic voice acting.",d790c144-5da2-4ef5-b278-e4840b0349f3
6,"Australia:MA15+ (ACB)  France:18  Japan:Z (CERO)  Mexico:C (SMECCV)  New Zealand:R13 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:18+ (LV, suggestion, new rating, Crude Humor)",None,"Same as God of War (2018), it's fairly violent and bloody, though much more so than its predecessor. Kratos can dismember, behead and eviscerate his enemies. Combat scenarios are extremely violent. Not for anyone younger than 15.","Kratos does not swear, but nearly every other character does. You'll hear the f word at least 10 times, the s word is also relatively frequent. In at least one scene Atreus swears multiple times in quick succession. Most swear words appear at least once or twice but the f and s words are the most used.",Mild,Moderate,51e253ce-e19a-4e27-95f3-82794841cc15
7,"Argentina:18  Australia:R18+ (ACB)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Ireland:18 (PEGI)  Japan:Z (CERO, cut)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Sweden:15  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)",Rape is mentioned,"The Last of Us is a Zombie-apocalyptic game, and it has the most disturbing zombie creatures, like stalkers and bloaters, with blossomed head and brain.","86 uses of ""Fuck"".",It is implied that someone had wine stashed.,While this game has dark and sad moments there are these light hearted cracks in the game that can be quite calming. These moments can just be Joel and Ellie bonding in conversation or things like a scene where Ellie finds a family of giraffes and watches them wander off in the distance as hopeful music plays in the background. Moments like this are scattered throughout the game and can make it easier to push on.,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
8,"Argentina:18  Australia:R18+ (ACB)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Ireland:18 (PEGI)  Japan:Z (CERO, cut)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Sweden:15  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)","Some sexual references in dialogue sequences, usually spoken by survivors and overheard by Joel.","Very graphic and detailed violence(not much as the second game) shooting enemies will destroy their body parts, heads splatter and a lot of blood can be seen. Enemies will scream in agony if you disember them",There are LOTS of random swear words when in combat. But you can chose to not kill anybody in this game (Besides killing infected where in some moments in required) and can just go around them.,A woman pours a shot of whiskey.,"Any experience with a bloater can be intense since, they are huge and you have to sneak past them.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
9,"Argentina:18  Australia:R18+ (ACB)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Ireland:18 (PEGI)  Japan:Z (CERO, cut)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Sweden:15  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)","If you chose god blessed setting in the game no gore/nudity option, you wont even come across one cleavage. So if chosen that, no nudity at all!",You can bash in enemies' heads by smashing them against a wall.,The language is spread out infrequently. You will hear about 3 F words every 15m,"Selling drugs is mentioned twice throughout the game, once in the prologue in a conversation between Sarah and Joel ( referred to as hardcore drugs) and a second time in a conversation between Ellie and Joel as to what kind of goods him and Tess were smuggling.","Sometimes when Joel kills someone Ellie will make a comment implying that she's disturbed by what she's seeing like: ""Oh my gosh Joel!""",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
10,"Argentina:18  Australia:R18+ (ACB)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Ireland:18 (PEGI)  Japan:Z (CERO, cut)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Sweden:15  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)","One of the locations in the game contains a painting of a nude woman with breasts visible. This, however, is hard to spot if you don't like exploring.",This game has some scary moments like sneaking around places or trying to stay quiet.,--,--,There is a scene of a man trapped underneath a cupboard. No injury shown.,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
