id,trivia,game_id
1,"Dutch Van Der Linde & Hosea Matthews began working together in 1878, 21 years before the events of the game. They ""adopted"" Arthur Morgan a year later, making these three (along with Dutch & Hosea's wives, Annabelle & Bessie) the founding members of the Van Der Linde Gang. As of the start of the game, John Marston has been with the gang for 15 years (although he only recently returned after fleeing for a year). Bill Williamson has been a member for 5 years, following his dishonorable discharge from the army. Javier Escuella joined a year after Bill, having fled Mexico as he was wanted for treason there (due to his participation in an attempted revolution). Micah Bell, Charles Smith & Lenny Summers joined the gang 6 months before the events of the game.",d790c144-5da2-4ef5-b278-e4840b0349f3
2,"Had the highest-grossing opening weekend of any media in entertainment history, with sales of $725m from Friday to Sunday. However this is still far behind Grand Theft Auto V (2013)'s opening 3-day sales of $1 billion, which remains the highest-grossing launch overall - but that game was released on a Tuesday.",d790c144-5da2-4ef5-b278-e4840b0349f3
3,"The finished game includes 300,000 animations, 500,000 lines of dialogue and many more lines of code.",d790c144-5da2-4ef5-b278-e4840b0349f3
4,"The development of the game began in 2010, and was eventually in development for 8 years.",d790c144-5da2-4ef5-b278-e4840b0349f3
5,"One of the animals in the game is the opossum, which will famously ""play dead"" when approached - if the player has auto-aim switched on, Arthur won't aim his weapon at the opossum after it does this (as he thinks it's already dead).",d790c144-5da2-4ef5-b278-e4840b0349f3
6,Across the game are 14 poems by a bard named Kvasir. Each poem is an Easter egg that references a PlayStation game.,51e253ce-e19a-4e27-95f3-82794841cc15
7,"God of War: Ragnarok includes a touching tribute to one of its late developers, Jake Snipes, who passed away in 2020. In remembrance, his partner, and fellow developer, Sam Handrick, asked for a small memorial of some kind to be placed in the game. In response, developers took it a step further by creating an entire side-quest called ""Across The Realms"" in his honor. The quest begins at a campfire in Midgard, colored like a rainbow, that never stops burning.",51e253ce-e19a-4e27-95f3-82794841cc15
8,Richard Schiff received the offer for Odin while he was in the car with his son. Schiff asked his son about it who immediately told him to take the part no matter what it was. Later that night his son wrote a two page outline to breakdown the original game for him.,51e253ce-e19a-4e27-95f3-82794841cc15
9,"'The infected' were inspired by an episode of the BBC Documentary Planet Earth (2006) that featured Cordyceps - a killer fungi which invades the bodies of ants and can actually exercise a basic control over the insect's motor functions. The infected ant will climb up high and die in a position that allows the fungus's spores to travel farther and reach another host. It was featured in the episode titled ""Jungles"" (Jungles (2006)).",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
10,"The eye charts in the hospital near the end of the game read ""RUN YOU R NEARLY THERE DON'T QUIT!!""",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
11,"In the photograph of Joel and his daughter she is wearing an Argentina coloured football shirt. A nod to Gustavo Santaolalla who wrote the score and was born in Buenos Aires, Argentina.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
12,"The game's scenery setting was partially influenced by Alan Weisman's book ""The World Without Us"".",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
13,"According to the Japanese game manual, Joel and Sarah's last name is Miller. This was confirmed in The Last of Us Part 2.",91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
14,"In spite of his youthful appearance and reckless behavior, the bard Dandelion is supposed to be in his late forties by the time of the game's events. This is actually true to the books, where, a few years before, Dijkstra told Dandelion: ""I know you're almost forty, look almost thirty, think you're just over twenty and act as though you're barely ten.""",621e4265-f73e-4105-978d-252495659c05
15,"If you fall off a cliff in the game, there's a very rare chance of hearing the Wilhelm Scream.",621e4265-f73e-4105-978d-252495659c05
16,"Doug Cockle (who voices Geralt in the English version of the game) said in an interview that he had not played any Witcher game previously in the series, but says that he bought a console this time to finally play Witcher 3 when it releases.",621e4265-f73e-4105-978d-252495659c05
17,Has real in-game beard growth.,621e4265-f73e-4105-978d-252495659c05
18,"When Geralt in conversation makes the hand motions for the sign ""Axii"", he is actually spelling it using letters from American Sign Language.",621e4265-f73e-4105-978d-252495659c05
19,Back Cast & crew User reviews Trivia IMDbPro  The Last of Us: Part I Trivia The Last of Us: Part I The first that add audio description for cutscene in the game,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
20,Remake of The Last of Us (2013) on PS3.,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
21,In this game they used the same Audio Commentary as the original The Last of Us,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
22,"Initially scheduled for a 2022 release, but this was pushed back to Q2 of 2023. Delayed release dates have practically become tradition with modern Legend of Zelda games since the 1990s; producer Eiji Aonuma explained it as such: ""Every time we make a Zelda, we want to make something new, [...] It's hard to gauge how long that's going to take. And it's also hard to gauge at what point whatever we consider to be new is done."" Aonuma's team never compromises on quality in order to make deadlines, as per series creator Shigeru Miyamoto's motto ""a delayed game is eventually good, but a rushed game is forever bad"".",025ea231-da64-407d-94aa-715e7751ba0a
23,Series creator and long-time producer Shigeru Miyamoto took a far less active role in the making of this game because he was busy producing The Super Mario Bros. Movie (2023).,025ea231-da64-407d-94aa-715e7751ba0a
24,The game was born out of attempts to create additional downloadable content (DLC) for The Legend of Zelda: Breath of the Wild (2017); the creative team had conceived of so many new ideas that they chose to make it into an individual game rather than an add-on.,025ea231-da64-407d-94aa-715e7751ba0a
25,The sound of the master sword is the same sound as Fi from Skyward Sword.,025ea231-da64-407d-94aa-715e7751ba0a
26,One of the few games in the Zelda series not to start with Link waking up.,025ea231-da64-407d-94aa-715e7751ba0a
27,Grand Theft Auto V made its budget back with pre-orders alone.,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
28,Steven Ogg would actually record his lines in his underwear to help him get into character.,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
29,"Pay attention to Michael whenever somebody is talking on his right side, he shifts his body more towards that person. This is due to Michael's voice and motion capture actor Ned Luke being deaf in his right ear in real life.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
259,The music that plays during Barbara's story is from the movie Halloween (1978).,faf77828-592f-4dd2-9b8b-904a912efd46
265,"The game features many literary characters of myth, lore and folktales like Bloody Mary, Jersey Devil, Tweedledee and Tweedledum, and many more.",f44ed937-a134-4fda-a332-de4378df62b4
30,"Each of the three protagonists represents what Rockstar saw as the three types of Grand Theft Auto players. Michael Townley/De-Santa represents the kind of player who has beaten the game and is ""retired"" from a life of crime. Franklin Clinton represents the traditional protagonist of a Grand Theft Auto game who is ambitious and eager to become a successful criminal. On the other hand, Trevor Philips represents the player who takes advantage of the game's freedom to cause chaos and mayhem.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
31,"When saving the game, each character will sleep for a different amount of time. Michael Townley/De-Santa will sleep for 6 hours, Franklin Clinton for 8 hours, and Trevor Philips for 12 hours.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
