id,imdb_rating,cover,title,director,certificate,writer,award,storyline,genre,country_of_origin,language,company,sold,color,soundmix,officialsite,nickname,release_date,popularity,metascore,year
0364fc87-34cd-43f0-8fc6-a0a6a931d5c2,7.00,covers/BB.png,Bloodborne,Hidetaka Miyazaki,M,Daniel FineJoe Sims  William Vanderpuye,Won 1 BAFTA Award 6 wins & 19 nominations total,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumb to beast hood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.",Action  Adventure  Fantasy  Horror  Sci-Fi,Japan  United States,Japanese  English,From Software  Japan  Studio,2 million copies worldwide,Color,dolby atom,http://www.jp.playstation.com/scej/title/bloodborne/,Project Beast,2015-05-24,7000,92,2015
8525047c-d017-4035-b607-85fb86855b71,0.00,covers/SM.png,Spider-Man,Ryan Smith,T,Benjamin Arfmann Kelsey Beachum Christos N. Gage,Nominated for 3 BAFTA Awards 4 wins & 41 nominations total,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",Action  Adventure  Fantasy  Sci-Fi,United States,English  Mandarin,Insomniac Games  Marvel Entertainment,20 million copies,Color,dolby atom,http://www.insomniacgames.com/,O'rgimchak-odam,2018-09-07,8500,87,2018
51e253ce-e19a-4e27-95f3-82794841cc15,9.00,covers/GOWR.png,God of War: Ragnarök,Eric Williams,M,"Cory Barlog, Anthony Burch, Cara Ellison",Won 6 BAFTA Awards 33 wins & 33 nominations total,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",Action  Adventure  Drama  Fantasy,United States,EnglishPortuguese,SCEA Santa Monica Studios,11 million copies sold,Color,dolby atom,https://godofwar.playstation.com/,ゴッド・オブ・ウォー ラグナロク,2022-11-09,8700,94,2022
025ea231-da64-407d-94aa-715e7751ba0a,0.00,covers/TLOZTOK.png,The Legend of Zelda: Tears of the Kingdom,Hidemaro Fujibayashi,E10+,Audrey Drake Rigg,2 wins & 2 nominations,"When Link and princess Zelda investigate Zonai ruins in a cave beneath the castle, they witness a mummified Ganondorf's awakening, whose powers then corrupt Link's arm, after which Hyrule Castle is being sent floating upwards into the sky.",Action  Adventure  Fantasy  Mystery,United States  Japan,English,Nintendo Entertainment Planning & Development (EPD),21 million copies,Color,dolby atom,https://zelda.com/tears-of-the-kingdom/,ゼルダの伝説 ティアーズ オブ ザ キングダム,2023-05-12,9000,96,2023
91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc,9.00,covers/TLOS.png,The Last of Us,Neil Druckmann  Bruce Straley,M,Neil Druckmann,Won 5 BAFTA Awards 48 wins & 21 nominations total,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",ActionAdventureDramaHorrorSci-FiThriller,United States,English  Portuguese,Naughty Dog,17 million copies,Color,dolby atom,http://www.thelastofus.playstation.com/index.html,The Last of Us Remastered,2013-06-13,5500,95,2013
9437cc3e-e4be-4db9-b7ef-ba99f4573529,0.00,covers/ER.png,Elden Ring,Hidetaka Miyazaki  Yui Tanimura,M,Hidetaka Miyazaki  George R.R. Martin,Won 2 BAFTA Awards 18 wins & 19 nominations total,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.",Action  Adventure  Fantasy  Horror,Japan,Persian  Japanese  English,Bandai Namco Entertainment  From Software,20 million copies,Color,dolby atom,https://www.bandainamcoent.com/landing/eldenring,艾尔登法环,2022-02-25,9000,96,2022
50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c,10.00,covers/GTAV.png,Grand Theft Auto V,Leslie Benzies Imran Sarwar  Aaron Garbut,M,Dan Houser  Rupert Humphries  Michael Unsworth,Won 3 BAFTA Awards 17 wins & 29 nominations total,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,Action  Comedy  Crime  Drama  Thriller,United Kingdom  United States,English  Spanish  Mandarin  Russian  Korean  Polynesian  Persian,Rockstar Games  Rockstar North,180 million copies,Color,Dolby Digital,http://www.rockstargames.com/v,GTA 5,2013-09-17,8500,98,2013
ace9041e-a0fe-47b8-b0cc-8ec09c19e727,0.00,covers/P.T..png,P.T.,Guillermo del Toro  Hideo Kojima,Not Rated,Keiichiro Toyama,none,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.",Horror  Mystery,United States  Japan,English,Kojima Productions  Konami Computer Entertainment,1 million copies,Color,dolby atom,http://www.konami.jp/pt/certification.php5,Silent Hills,2014-08-12,9000,0,2014
003c1cb2-2333-4a28-a76c-4b1bbac13eae,0.00,covers/U4TE.png,Uncharted 4: A Thief's End,Neil Druckmann  Bruce Straley,T,Neil Druckmann  Josh Scherr  Tom Bissell,Won 1 BAFTA Award 30 wins & 30 nominations total,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",Action  Adventure  Drama  Romance  Thriller,United States,English  Spanish  Italian  Portuguese,Naughty Dog,16.25 million copies,Color,dolby atom,http://www.naughtydog.com/site/post/uncharted_on_ps4_and_the_last_of_us_left_behind_dlc_on_ps3_revealed/,Uncharted 4,2016-05-10,8500,93,2016
d1c2404d-5bcf-4bff-a3f3-359b3439a8cc,0.00,covers/DBH.png,Detroit: Become Human,David Cage,M,David Cage  Adam Williams,Nominated for 2 BAFTA Awards 6 wins & 22 nominations total,Take control of three androids in their quest to discover who they really are.,Action  Adventure  Drama  Mystery  Sci-Fi  Thriller,France,English  French,Quantic Dream  Scoring BerlinWorld Wonder Ring Stardom,8 million copies,Color,dolby atom,https://www.quanticdream.com/en/detroit-become-human,Detroit: Insonga aylanish,2018-05-25,8500,78,2018
